date,log_ret
1991-09-16,0.4476872
1991-09-17,-0.0561648
1991-09-18,-0.0631094
1991-09-19,-0.06242837
1991-09-20,0.07264266
1991-09-21,0.6410608
1991-09-23,0.2258091
1991-09-24,-0.1640394
1991-09-25,0.2949504
1991-09-26,0.3019796
1991-09-27,0.3417895
1991-09-28,0.583646
1991-09-29,0.4392042
1991-09-30,-0.1330708
1991-10-03,2.438252
1991-10-04,0.3140576
1991-10-05,0.08168533
1991-10-07,4.743121
1991-10-08,5.463807
1991-10-09,4.133866
1991-10-10,0.1440156
1991-10-11,0.8963723
1991-10-12,2.927557
1991-10-14,0.6748062
1991-10-15,-0.3889276
1991-10-16,-0.01199369
1991-10-17,1.380046
1991-10-18,1.073834
1991-10-19,-0.441086
1991-10-21,0.4768237
1991-10-22,0.01579658
1991-10-23,0.7009913
1991-10-24,1.002455
1991-10-25,0.4596422
1991-10-26,0.1853754
1991-10-28,2.268557
1991-10-29,1.395093
1991-10-30,1.018707
1991-10-31,2.594148
1991-11-01,2.662293
1991-11-02,0.9224942
1991-11-04,3.533364
1991-11-05,0.9341817
1991-11-06,-0.9326879
1991-11-07,1.505684
1991-11-08,1.033649
1991-11-09,4.552899
1991-11-11,1.005673
1991-11-12,5.332563
1991-11-13,1.439265
1991-11-14,1.646789
1991-11-15,-0.8039326
1991-11-16,-2.858774
1991-11-17,14.78354
1991-11-18,-6.688524
1991-11-19,4.034228
1991-11-20,-0.03582061
1991-11-21,-1.420463
1991-11-22,1.551926
1991-11-23,0.325712
1991-11-25,-1.603637
1991-11-26,-1.200484
1991-11-27,2.418737
1991-11-28,-0.5010453
1991-11-29,-1.108194
1991-11-30,-2.343164
1991-12-02,0.6477611
1991-12-03,1.904674
1991-12-04,0.6333912
1991-12-05,-0.6785324
1991-12-06,1.117611
1991-12-07,0.5743984
1991-12-09,0.8390026
1991-12-10,0.9463841
1991-12-11,0.06249414
1991-12-12,-0.358655
1991-12-13,-0.4016538
1991-12-14,1.655776
1991-12-16,0.3847788
1991-12-17,-0.09790849
1991-12-18,0.1537329
1991-12-19,-0.09716257
1991-12-20,0.3917877
1991-12-21,0.06523295
1991-12-23,1.093412
1991-12-24,2.777318
1991-12-25,0.280087
1991-12-26,-0.1228713
1991-12-27,0.8503011
1991-12-28,2.080263
1991-12-30,0.02599803
1991-12-31,0.7583068
1992-01-02,0.1740467
1992-01-03,0.6474946
1992-01-06,0.8102069
1992-01-07,0.9765548
1992-01-08,0.09714731
1992-01-09,0.3077887
1992-01-10,0.6469288
1992-01-13,0.04478977
1992-01-14,-0.3536878
1992-01-15,-0.05304997
1992-01-16,-0.967913
1992-01-17,0.5701298
1992-01-20,0.2777098
1992-01-21,-0.07602004
1992-01-22,0.1744198
1992-01-23,0.3998531
1992-01-24,0.4661454
1992-01-27,0.2072781
1992-01-28,0.3233957
1992-01-29,0.5172046
1992-01-30,0.9095787
1992-01-31,0.5682271
1992-02-01,2.361246
1992-02-02,0.7720402
1992-02-03,-0.0766947
1992-02-07,0.2848359
1992-02-10,-0.3446146
1992-02-11,0.3805803
1992-02-12,0.3162015
1992-02-13,0.06116717
1992-02-14,-0.1790978
1992-02-17,-0.2838465
1992-02-18,3.61111
1992-02-19,1.060233
1992-02-20,1.355677
1992-02-21,0.8041258
1992-02-24,-0.7367183
1992-02-25,-0.03479331
1992-02-26,-0.4377847
1992-02-27,1.854857
1992-02-28,0.8323988
1992-03-02,0.317002
1992-03-03,0.2272414
1992-03-04,0.05454536
1992-03-05,0.5968236
1992-03-06,0.27864
1992-03-09,-0.007329972
1992-03-10,0.2389495
1992-03-11,0.2094969
1992-03-12,0.4659875
1992-03-13,-0.001759877
1992-03-16,0.3713545
1992-03-17,0.04070297
1992-03-18,0.1479964
1992-03-19,-0.1109219
1992-03-20,-0.2031497
1992-03-23,0.2061083
1992-03-24,0.2608265
1992-03-25,1.695859
1992-03-26,1.728053
1992-03-27,0.6212578
1992-03-30,1.445783
1992-03-31,0.8393952
1992-04-01,1.903498
1992-04-02,-0.3240418
1992-04-03,-0.2722852
1992-04-06,2.0307
1992-04-07,1.332782
1992-04-08,1.466743
1992-04-09,0.8054693
1992-04-10,1.837091
1992-04-13,6.067684
1992-04-14,3.264095
1992-04-15,-3.26662
1992-04-16,2.445237
1992-04-17,-1.309138
1992-04-18,-3.601044
1992-04-20,-4.183544
1992-04-21,-1.123105
1992-04-22,1.593568
1992-04-23,2.16927
1992-04-24,0.7414257
1992-04-27,-0.3307068
1992-04-28,1.41444
1992-04-29,0.6955969
1992-04-30,1.455218
1992-05-03,3.191312
1992-05-04,1.638106
1992-05-05,0.8192528
1992-05-06,3.725108
1992-05-07,-1.460269
1992-05-08,1.516717
1992-05-11,3.606216
1992-05-12,4.246866
1992-05-13,0.7026512
1992-05-14,0.6017853
1992-05-15,2.480915
1992-05-18,3.867882
1992-05-19,5.295549
1992-05-20,0.3330108
1992-05-21,20.14058
1992-05-22,2.887086
1992-05-25,5.031739
1992-05-26,-1.545139
1992-05-27,-1.825072
1992-05-28,-2.338088
1992-05-29,1.786319
1992-06-01,-1.64013
1992-06-02,-2.880592
1992-06-03,-8.014749
1992-06-04,1.24047
1992-06-05,0.2304223
1992-06-08,-2.218154
1992-06-09,-2.499143
1992-06-10,2.925987
1992-06-11,-1.141235
1992-06-12,0.2903504
1992-06-15,-1.973476
1992-06-16,-4.972526
1992-06-17,6.104981
1992-06-18,-1.97047
1992-06-19,0.6430929
1992-06-22,-2.784278
1992-06-23,0.553649
1992-06-24,-0.5038744
1992-06-25,1.08226
1992-06-26,3.131383
1992-06-29,5.96227
1992-06-30,3.843257
1992-07-01,-2.622953
1992-07-02,-0.2105983
1992-07-03,1.941201
1992-07-06,-1.186723
1992-07-07,1.180968
1992-07-08,-0.7837592
1992-07-09,-1.493606
1992-07-10,-0.0421388
1992-07-13,0.4090904
1992-07-14,-0.145625
1992-07-15,0.2250368
1992-07-16,1.229256
1992-07-17,1.498786
1992-07-20,1.78052
1992-07-21,-1.295941
1992-07-22,-1.476916
1992-07-23,0.295741
1992-07-24,1.478767
1992-07-27,4.367361
1992-07-28,-2.494238
1992-07-29,-0.04530558
1992-07-30,0.01286778
1992-07-31,-0.879446
1992-08-03,-3.948853
1992-08-04,1.89497
1992-08-05,-0.266919
1992-08-06,-0.8056907
1992-08-07,1.596566
1992-08-10,-1.59921
1992-08-11,-8.633664
1992-08-12,-4.654813
1992-08-13,1.598584
1992-08-14,3.257628
1992-08-17,5.328502
1992-08-18,-2.325161
1992-08-19,0.6465885
1992-08-20,-0.7043084
1992-08-21,-1.753983
1992-08-24,-3.216329
1992-08-25,-3.333838
1992-08-26,3.226766
1992-08-27,-0.7338246
1992-08-28,-0.7691942
1992-08-31,-2.78112
1992-09-01,-1.079099
1992-09-02,-2.206418
1992-09-03,-1.874399
1992-09-04,-3.039368
1992-09-07,-6.655959
1992-09-08,-0.9220372
1992-09-09,1.415823
1992-09-10,5.052226
1992-09-11,4.603679
1992-09-14,-5.056896
1992-09-15,0.1424644
1992-09-16,2.764683
1992-09-17,0.803592
1992-09-18,-1.213754
1992-09-21,-1.9716
1992-09-22,-1.298446
1992-09-23,-0.1728275
1992-09-24,3.32855
1992-09-25,-0.5628259
1992-09-28,-0.6131559
1992-09-29,-1.084671
1992-09-30,-0.8626311
1992-10-04,0.7189019
1992-10-05,-2.600264
1992-10-06,-0.8692742
1992-10-07,-0.5080669
1992-10-08,-1.732103
1992-10-09,2.037452
1992-10-12,2.950474
1992-10-13,-2.665272
1992-10-14,-1.950514
1992-10-15,0.8909269
