date,log_ret
2005-11-23,0.7572279
2005-11-24,0.5985044
2005-11-25,0.2956521
2005-11-28,-0.4455108
2005-11-29,-1.011724
2005-11-30,0.2888022
2005-12-01,-0.08701128
2005-12-02,-0.3591492
2005-12-05,-1.194545
2005-12-06,0.7498485
2005-12-07,0.8920009
2005-12-08,0.02517306
2005-12-09,1.510174
2005-12-12,0.1306395
2005-12-13,0.06525579
2005-12-14,1.012738
2005-12-15,-0.1916884
2005-12-16,0.6814961
2005-12-19,0.03877107
2005-12-20,0.4872319
2005-12-21,-0.4617619
2005-12-22,0.6192449
2005-12-23,0.7826241
2005-12-26,0.7061016
2005-12-27,-0.327951
2005-12-28,0.1695395
2005-12-29,1.199183
2005-12-30,-0.9248347
2006-01-04,1.928334
2006-01-05,1.862663
2006-01-06,1.130038
2006-01-09,0.536685
2006-01-10,0.2969184
2006-01-11,-0.4785752
2006-01-12,1.046402
2006-01-13,-0.5003756
2006-01-16,-1.790539
2006-01-17,0.2959919
2006-01-18,1.984756
2006-01-19,0.7696864
2006-01-20,0.2136495
2006-01-23,0.2834885
2006-01-24,0.2936977
2006-01-25,1.046463
2006-02-06,2.313561
2006-02-07,-0.318927
2006-02-08,0.3034404
2006-02-09,-1.312456
2006-02-10,1.241768
2006-02-13,-0.07073815
2006-02-14,0.6685563
2006-02-15,0.3009343
2006-02-16,-2.089533
2006-02-17,0.02450392
2006-02-20,0.1243873
2006-02-21,1.667627
2006-02-22,-0.08956475
2006-02-23,0.3347348
2006-02-24,0.7719535
2006-02-27,-0.1525786
2006-02-28,0.4921827
2006-03-01,0.3422404
2006-03-02,-1.713409
2006-03-03,0.2893746
2006-03-06,-0.270121
2006-03-07,-2.327453
2006-03-08,-0.5631758
2006-03-09,-0.4896688
2006-03-10,0.4530019
2006-03-13,1.080473
2006-03-14,-0.1560254
2006-03-15,1.044347
2006-03-16,-0.1303135
2006-03-17,-0.3509391
2006-03-20,1.323212
2006-03-21,0.2983037
2006-03-22,0.6617435
2006-03-23,0.08300696
2006-03-24,-0.5681127
2006-03-27,0.7748533
2006-03-28,0.500312
2006-03-29,0.8777817
2006-03-30,-0.9109317
2006-03-31,0.5158937
2006-04-03,1.703453
2006-04-04,0.9268334
2006-04-05,0.9683359
2006-04-06,0.2968398
2006-04-07,-0.008158123
2006-04-10,1.329115
2006-04-11,0.4818813
2006-04-12,-0.5570498
2006-04-13,-2.093247
2006-04-14,2.231013
2006-04-17,0.5171611
2006-04-18,0.6091281
2006-04-19,0.6133475
2006-04-20,-0.3396964
2006-04-21,1.294499
2006-04-24,-0.5637358
2006-04-25,-0.06740698
2006-04-26,1.201237
2006-04-27,-0.03980961
2006-04-28,1.46762
2006-05-08,3.856107
2006-05-09,2.685937
2006-05-10,1.137631
2006-05-11,-0.8639585
2006-05-12,3.231575
2006-05-15,4.222012
2006-05-16,-1.567511
2006-05-17,0.3292524
2006-05-18,-0.3239938
2006-05-19,2.587917
2006-05-22,0.5526025
2006-05-23,-4.163614
2006-05-24,-0.7167125
2006-05-25,-0.04128535
2006-05-26,1.76757
2006-05-29,2.615347
2006-05-30,0.9085507
2006-05-31,-0.97005
2006-06-01,2.704322
2006-06-02,-0.9137192
2006-06-05,0.9336762
2006-06-06,-0.2869074
2006-06-07,-5.80518
2006-06-08,0.4345845
2006-06-09,-2.426679
2006-06-12,0.2685332
2006-06-13,0.04699628
2006-06-14,-1.115357
2006-06-15,0.1175431
2006-06-16,2.506085
2006-06-19,1.272587
2006-06-20,0.2491481
2006-06-21,-0.3510811
2006-06-22,-0.1485884
2006-06-23,0.5915405
2006-06-26,1.772983
2006-06-27,0.03593284
2006-06-28,-0.07407978
2006-06-29,2.337299
2006-06-30,-0.08318156
2006-07-03,1.874062
2006-07-04,-0.6583479
2006-07-05,-1.283889
2006-07-06,1.825999
2006-07-07,-0.5832239
2006-07-10,0.1197499
2006-07-11,0.4557201
2006-07-12,0.04440106
2006-07-13,-5.288924
2006-07-14,0.8168082
2006-07-17,1.107955
2006-07-18,0.08522511
2006-07-19,-2.714498
2006-07-20,0.6376265
2006-07-21,0.8026046
2006-07-24,0.1540077
2006-07-25,1.174852
2006-07-26,-0.2090717
2006-07-27,-1.155192
2006-07-28,-1.050089
2006-07-31,-3.57132
2006-08-01,-0.9525027
2006-08-02,-0.5451395
2006-08-03,-0.2630723
2006-08-04,-2.373552
2006-08-07,-1.444464
2006-08-08,2.284785
2006-08-09,-0.08707149
2006-08-10,1.59907
2006-08-11,0.3282141
2006-08-14,-2.374218
2006-08-15,1.603806
2006-08-16,1.389353
2006-08-17,-0.9345716
2006-08-18,-0.2961215
2006-08-21,0.2119421
2006-08-22,1.151106
2006-08-23,0.03189483
2006-08-24,0.5213194
2006-08-25,0.2349451
2006-08-28,2.323353
2006-08-29,0.3215304
2006-08-30,0.3384835
2006-08-31,0.3007454
2006-09-01,-1.550022
2006-09-04,1.441648
2006-09-05,0.256916
2006-09-06,0.4235134
2006-09-07,-1.345193
2006-09-08,0.2834024
2006-09-11,0.4949634
2006-09-12,0.6611102
2006-09-13,-0.6887515
2006-09-14,-0.008219168
2006-09-15,1.780392
2006-09-18,0.9671792
2006-09-19,0.199719
2006-09-20,0.0108823
2006-09-21,0.6442935
2006-09-22,-0.9065234
2006-09-25,-0.1783602
2006-09-26,-1.080577
2006-09-27,0.987266
2006-09-28,1.151522
2006-09-29,1.166209
2006-10-09,2.310499
2006-10-10,0.08143918
2006-10-11,-0.09258132
2006-10-12,-0.6574903
2006-10-13,0.3065748
2006-10-16,-0.8675565
2006-10-17,-0.2873312
2006-10-18,1.622734
2006-10-19,0.1244365
2006-10-20,0.05556405
2006-10-23,-2.209371
2006-10-24,2.200344
2006-10-25,0.4690209
2006-10-26,0.6386716
2006-10-27,-1.177159
2006-10-30,0.4983911
2006-10-31,1.252632
2006-11-01,1.014996
2006-11-02,0.0168972
2006-11-03,0.5815478
2006-11-06,1.308351
2006-11-07,0.5429925
2006-11-08,-1.189688
2006-11-09,1.755986
2006-11-10,-1.363611
2006-11-13,-1.898145
2006-11-14,1.212316
2006-11-15,2.70642
2006-11-16,-0.09582635
2006-11-17,1.860251
2006-11-20,1.97012
2006-11-21,1.191125
2006-11-22,0.7279996
2006-11-23,0.6677042
2006-11-24,0.1020942
2006-11-27,0.9256904
2006-11-28,-0.4727223
2006-11-29,1.39712
2006-11-30,2.793025
2006-12-01,0.8630607
2006-12-04,2.935857
2006-12-05,0.7546952
2006-12-06,-0.8294112
2006-12-07,-0.2081506
2006-12-08,-3.678342
2006-12-11,4.475401
2006-12-12,0.7164539
2006-12-13,0.05933484
2006-12-14,1.773673
2006-12-15,1.701006
2006-12-18,2.562149
2006-12-19,0.2777816
2006-12-20,0.7833134
2006-12-21,-1.433897
2006-12-22,-0.7012556
2006-12-25,2.266744
2006-12-26,-0.04436031
2006-12-27,2.276999
2006-12-28,-0.1488843
2006-12-29,3.040289
2007-01-04,1.267744
2007-01-05,0.2797124
2007-01-08,2.791516
2007-01-09,3.164416
2007-01-10,2.508177
2007-01-11,-1.084778
2007-01-12,-2.627847
2007-01-15,5.093578
2007-01-16,2.867121
2007-01-17,-1.927657
2007-01-18,0.3527874
2007-01-19,3.352615
2007-01-22,3.897043
2007-01-23,0.6728779
2007-01-24,1.122013
2007-01-25,-3.351512
2007-01-26,2.420296
2007-01-29,2.514946
2007-01-30,-0.9764545
2007-01-31,-6.749286
2007-02-01,0.411673
2007-02-02,-4.141503
2007-02-05,-1.146671
2007-02-06,1.928636
2007-02-07,2.294251
2007-02-08,1.707434
2007-02-09,-0.5553432
2007-02-12,3.610734
2007-02-13,1.487242
2007-02-14,2.57186
2007-02-15,3.054463
2007-02-16,0.3034404
2007-02-26,1.149254
2007-02-27,-9.695168
2007-02-28,3.482117
2007-03-01,-2.831135
2007-03-02,1.412633
2007-03-05,-1.328982
2007-03-06,1.788714
2007-03-07,2.706766
2007-03-08,1.464066
2007-03-09,-0.6199653
2007-03-12,0.182877
2007-03-13,0.9131893
2007-03-14,-1.634776
2007-03-15,1.838344
2007-03-16,-1.574194
2007-03-19,2.096725
2007-03-20,0.5011094
2007-03-21,1.109888
2007-03-22,0.3221329
2007-03-23,0.1824014
2007-03-26,1.743014
2007-03-27,0.7206167
2007-03-28,0.4883853
2007-03-29,-0.5142505
2007-03-30,-0.05462635
2007-04-02,2.426658
2007-04-03,1.324472
2007-04-04,0.8176006
2007-04-05,1.134408
2007-04-06,0.9116092
2007-04-09,2.201687
2007-04-10,1.418385
2007-04-11,1.281678
2007-04-12,1.750508
2007-04-13,-0.2272417
2007-04-16,2.701079
2007-04-17,0.8440933
2007-04-18,0.6344794
2007-04-19,-4.778749
2007-04-20,4.317101
2007-04-23,4.227633
2007-04-24,0.4036931
2007-04-25,0.08935981
2007-04-26,1.305144
2007-04-27,-0.662256
2007-04-30,2.509368
2007-05-08,3.515188
2007-05-09,0.4128708
2007-05-10,0.6256594
2007-05-11,-0.5897323
2007-05-14,0.8554542
2007-05-15,-3.537061
2007-05-16,2.618929
2007-05-17,2.094238
2007-05-18,-0.05214931
2007-05-21,1.440863
2007-05-22,1.01404
2007-05-23,1.753308
2007-05-24,-0.4886314
2007-05-25,1.657217
2007-05-28,2.167666
2007-05-29,2.322917
2007-05-30,-7.000716
2007-05-31,1.061894
2007-06-01,-3.207503
2007-06-04,-8.001927
2007-06-05,3.448396
2007-06-06,1.174761
2007-06-07,3.335122
2007-06-08,0.9311378
2007-06-11,2.419507
2007-06-12,2.616876
2007-06-13,2.015182
2007-06-14,-1.036122
2007-06-15,0.5763789
2007-06-18,3.079162
2007-06-19,0.5997256
2007-06-20,-2.268663
2007-06-21,0.9498712
2007-06-22,-3.536679
2007-06-25,-4.385608
2007-06-26,1.297002
2007-06-27,2.817965
